EMP09,P15_POP,lat,lon
0,2243.59477935615,-1.10126597550568,46.1533690540965
0,3733.64319321974,-1.07589305825665,46.1551965572298
0,5933,-1.11427918099847,46.1852564904644
0,662.000000000001,-0.817080682607301,46.1339143216897
0,2290.99999999999,-1.28414344091635,46.1592023488668
3971,2872.90143439002,-0.958762238959137,45.9399520082812
644,2582.58408570867,-0.962487783776258,45.9333450324733
1040,3174.66641497723,-0.965708677664017,45.9453337961275
384,1513.41561009571,-0.97008864464462,45.9377803447063
116,1789.89753583667,-0.979213961153514,45.9388275399966
212,1799.97214125637,-0.971214678548552,45.9339623972178
594,2721.54938950221,-0.973996171403893,45.9592793959746
1342,1802.22254866582,-0.963598604350915,45.9615658842516
1149,1018.48731716557,-0.950603941156568,45.9585189424313
2103,2033.09915702753,-0.979883392909964,45.9292832526464
649,2736.2043653742,-0.985070763693433,45.9492616597821
1278,2256.08007410935,-1.1504044072308,46.1630231987452
3401,2392.65628428414,-1.14923405742493,46.1585061479924
2492,2296.4762280206,-1.15499730931352,46.1585834744964
5949,2695.29183581016,-1.14600971591816,46.1603534763803
1143,1654.84571532238,-1.16103995356296,46.1600166311738
984,3473.86146022573,-1.16586742533205,46.1605809555314
560,1817.72695481569,-1.17687033641502,46.1575816780587
333,2919.14543005305,-1.18548593626267,46.1565436236149
3497,207.203294970901,-1.21007599425977,46.1555661623804
884,2654.45792893356,-1.21206633307352,46.1635364821963
2062,3179.41605146495,-1.20067792837235,46.1756116267299
260,2008.10584666396,-1.18654459312074,46.1687083088739
40,1129.48526844619,-1.17855258242405,46.1708308277825
250,3208.25388886526,-1.17538392310678,46.1705341894681
109,1663.2477755595,-1.18291443706458,46.1694004579802
346,1779.73886833901,-1.18066410426046,46.1660931560692
419,2418.07514465943,-1.1838309130942,46.1638491123373
329,1922.0134682697,-1.1688749959716,46.1672851645736
746,3321.42780901994,-1.15681285644913,46.1707325901025
770,2043.6569813096,-1.14498095489065,46.1756406850162
185,2063.65484475054,-1.1423301546906,46.1711017021144
1096,1757.47820523984,-1.13272917616085,46.1716922078478
510,4136.26648362448,-1.12885815395176,46.1664262600953
1192,1847.30027342801,-1.13294559611895,46.1613644176954
666,1529.3575845099,-1.12981971566452,46.1565495303374
305,1952.41332735772,-1.12014173810392,46.1539517538153
93,2822.47115520549,-1.12143627967739,46.1503003313662
54,1864.00598483762,-1.12682222307938,46.1547260851111
3113,2724.76538199816,-1.16042054915467,46.1411021546037
2772,5377.7989694094,-1.15331639402784,46.1465791382122
572,4287.32148049575,-1.14115064339912,46.1465916641652
0,1370,-0.947790918174599,46.1408037954707
0,344,-1.06145132084725,45.9134091395755
0,1212,-0.798495361976414,46.0678730927273
0,2772,-0.882545495666739,46.2798145322456
0,2071,-1.02734781100204,45.9881799676664
0,3378.99999999999,-1.32164802239086,46.1565296084611
0,2346,-1.36666400549244,46.1990421207665
0,2179,-0.967399803325073,46.1593810728333
0,1183,-1.02776856940736,45.9435071204488
0,1612,-1.03143670832786,46.2299163084578
0,2197,-1.06190477371391,46.1453591698952
0,1678.99999999999,-0.89220771178781,46.2104461951364
0,4236,-1.01632702802905,46.192861368264
0,1226,-1.04897199645434,46.0771300687013
0,4589,-1.09120314470987,46.2126837541318
0,2092,-1.05178291335013,46.1028596112544
0,2970,-1.00277706633171,45.9097700036516
0,1650,-1.00382211743437,46.0772271820821
0,1875,-0.937624150721653,46.087039268276
0,3431.71008425387,-0.886529038288856,45.9459803555443
0,2193.33563140073,-0.920207245527792,45.9445628906102
0,1182,-0.986452960075207,45.9735780402668
0,2189,-0.973075418784493,46.1975782175404
0,2242,-1.07269112521341,46.2433301303751
0,754,-0.884218013054803,46.1385344463071
0,1480,-1.03458015570742,46.0397058854026
0,1765,-1.07329533687059,45.9424609110392
0,700,-1.35109132027549,46.0075834503448
0,2121,-1.26197701761914,46.30575615223
0,1551,-0.919768218565918,46.3333107177849
0,671.000000000003,-1.31936996320489,46.322436608956
