lon,lat,pop,emp
3910818.03247873,2273379.49136596,2050.94964524075,475
3911000.46798129,2272222.02012804,2450.59042932248,413
3962394.59961719,2271101.20401162,3474,0
3960593.08535873,2271384.13752967,2447,0
3959320.2378131,2272441.4969581,3835,0
3953918.77730846,2271842.31770529,1894.83697637347,461
3953893.16429865,2272570.88752486,2722.79488513182,1036
3955027.46173091,2272410.71167552,2182.85929561857,659
3954714.3768255,2271443.52948311,2685.82891675249,110
3956174.33572478,2270320.55086563,2282.08816480094,175
3953684.86098425,2270276.12760498,3131.6131933469,519
3952783.08892301,2269883.03182572,2633.04301903026,278
3953061.73059723,2273291.52691708,2215.93554894556,2723
3964847.65372507,2252370.54274442,3910.97980220413,0
3967313.64078101,2253924.01907871,2476.02019779589,0
3932251.42947395,2265694.89062698,3150.77109428652,0
3935348.18130179,2266292.6703647,3735.89885176659,0
3933922.04176832,2265423.27339114,2176.33005394688,0
3920379.08945908,2291608.51595081,4703,0
3959724.51724468,2268314.4701918,4111,0
3914664.89483866,2280433.7391494,3165.53026970391,386
3915062.70424615,2280389.3097696,2247.1428244895,1727
3915390.8600114,2280769.83147917,2685.35558794767,302
3914172.08650131,2281175.61212705,3032.2598436011,423
3915017.44680286,2278441.09757093,1757.99412175727,120
3915011.64465497,2279378.75845859,2361.5754970907,661
3914526.4205654,2278563.50384682,1866.51999261813,14
3915570.76698094,2278983.88199376,1759.82614907723,731
3915762.70498073,2280362.53912177,2049.22284444799,1691
3914099.75870491,2280071.96415497,2984.97160237571,504
3914575.46492937,2279414.94660618,2263.95879053997,46
3914735.33728492,2284877.34059814,2719.26214866587,487
3911726.44487434,2280912.29373854,3394.34549540002,1795
3912289.35092601,2290770.25323145,3254.12762624684,158
3913494.75756535,2279552.4898946,3148.84327138383,75
3914274.64743979,2277483.80946012,4101.34722943041,866
3909795.99889788,2286395.338802,293.71670522386,507
3938174.49178022,2294577.27192903,2839,0
3938027.49812084,2294232.3473377,4417,0
3927103.56669675,2288384.68131115,2779.90445241297,0
3926922.89039886,2288917.36436596,2083.96556103392,0
3929365.65684748,2286720.35185512,3947.12998655312,0
3932882.69564598,2270866.69409272,1436.86422511763,12061
3930812.03752522,2269524.24276811,2311.56258879054,234
3932726.35656495,2268875.01304342,2175.58460325829,1356
3933366.331861,2269514.4570657,2518.7632019691,355
3932110.18602548,2269558.49820989,2411.47376949984,43
3932110.12782157,2268603.82136791,1700.57516285006,506
3932965.20347696,2268425.76438162,2043.39031668248,583
3931568.92456843,2267382.99872655,3846.91627651498,1385
3932836.64219861,2267692.22092493,2652.41414335734,556
3932530.0564901,2269248.22604344,1762.13629839418,199
3933400.7958717,2269001.83332087,2513.23371933097,132
3933423.29275013,2268807.1383983,1662.81422002064,232
3933780.64151911,2268294.97901584,1692.49810445478,196
3935074.79831407,2267416.98426283,2534.54626092874,323
